#: table_doi: 10.17182/hepdata.77892.v1/t1,,,,,,,,,,,,,,
#: name: Table 1,,,,,,,,,,,,,,
#: description: Multiplicities of positively charged kaons from semi-inclusive deep-inelastic scattering of muons off an isoscalar target, $M^{K^{+}}$, in bins of $x$, $y$, and $z$. Also given are the diffractive vector meson correction to the kaon count, $DVM^{K^{+}}$, and DIS count, $DVM^{DIS}$, as well as the radiative correction factors to the kaon count, $\eta^{K^{+}}$, and DIS count, $\eta^{DIS}$. The correction factors were applied to the raw multiplicity to arrive at the final multiplicity given in the table, $M^{K^{+}}$, as follows:,
,,,,,,,,,,,,,,
$M^{K^{+}}$ =  $M_{raw}^{K^{+}}$ * $\frac{\eta^{K^{+}}} {\eta^{DIS}}$ * $\frac{ DVM^{K^{+}} }   {DVM^{DIS} }$.,,,,,,,,,,,,,,
#: data_file: data1.yaml,,,,,,,,,,,,,,
#: data_license:   ,,,,,,,,,,,,,,
#: keyword reactions: $\mu^{+}$ d--> $\mu^{+}$ $K^{+}$ X,,,,,,,,,,,,,,
#: keyword observables: MULT,,,,,,,,,,,,,,
#: keyword phrases: ,,,,,,,,,,,,,,
#: keyword cmenergies: ,,,,,,,,,,,,,,
#: PLAB [GEV],,,,,,,160,,,,,,,
#: RE,,,,,,,$\mu^{+}$ d-->$\mu^{+}$ $K^{+}$ X,,,,,,,
$x$,$x$ LOW,$x$ HIGH,$y$,$y$ LOW,$y$ HIGH,$<Q^2> (GeV/c)^2$,$z^{K^{+}}$,$z^{K^{+}}$ LOW,$z^{K^{+}}$ HIGH,$M^{K^{+}}$,stat +,stat -,sys +,sys -
0.0074,0.004,0.01,0.6,0.5,0.7,1.316,0.324,0.3,0.35,0.214,0.0039,-0.0039,0.0177,-0.0177
0.0076,0.004,0.01,0.57,0.5,0.7,1.282,0.374,0.35,0.4,0.1606,0.0043,-0.0043,0.0132,-0.0132
0.0079,0.004,0.01,0.53,0.5,0.7,1.244,0.424,0.4,0.45,0.1155,0.0055,-0.0055,0.0093,-0.0093
0.0184,0.01,0.02,0.19,0.15,0.2,1.085,0.424,0.4,0.45,0.1286,0.0117,-0.0117,0.0087,-0.0087
0.0188,0.01,0.02,0.19,0.15,0.2,1.065,0.474,0.45,0.5,0.1056,0.0079,-0.0079,0.0071,-0.0071
0.0188,0.01,0.02,0.19,0.15,0.2,1.065,0.524,0.5,0.55,0.0935,0.0076,-0.0076,0.0065,-0.0065
0.0188,0.01,0.02,0.19,0.15,0.2,1.065,0.575,0.55,0.6,0.0581,0.0054,-0.0054,0.0042,-0.0042
0.0188,0.01,0.02,0.19,0.15,0.2,1.065,0.624,0.6,0.65,0.0496,0.0051,-0.0051,0.0034,-0.0034
0.0188,0.01,0.02,0.19,0.15,0.2,1.065,0.674,0.65,0.7,0.0345,0.0043,-0.0043,0.0022,-0.0022
0.0188,0.01,0.02,0.19,0.15,0.2,1.065,0.724,0.7,0.75,0.033,0.0048,-0.0048,0.0021,-0.0021
0.0188,0.01,0.02,0.19,0.15,0.2,1.065,0.795,0.75,0.85,0.0236,0.0026,-0.0026,0.0015,-0.0015
0.0154,0.01,0.02,0.28,0.2,0.3,1.275,0.324,0.3,0.35,0.234,0.0056,-0.0056,0.0158,-0.0158
0.016,0.01,0.02,0.26,0.2,0.3,1.237,0.374,0.35,0.4,0.1808,0.0038,-0.0038,0.012,-0.012
0.0162,0.01,0.02,0.25,0.2,0.3,1.222,0.424,0.4,0.45,0.1372,0.0031,-0.0031,0.0094,-0.0094
0.0162,0.01,0.02,0.25,0.2,0.3,1.222,0.474,0.45,0.5,0.1039,0.0026,-0.0026,0.0071,-0.0071
0.0162,0.01,0.02,0.25,0.2,0.3,1.222,0.524,0.5,0.55,0.0824,0.0023,-0.0023,0.0058,-0.0058
0.0162,0.01,0.02,0.25,0.2,0.3,1.222,0.574,0.55,0.6,0.0622,0.002,-0.002,0.0048,-0.0048
0.0162,0.01,0.02,0.25,0.2,0.3,1.222,0.624,0.6,0.65,0.0512,0.0018,-0.0018,0.0035,-0.0035
0.0162,0.01,0.02,0.25,0.2,0.3,1.222,0.674,0.65,0.7,0.0359,0.0016,-0.0016,0.0024,-0.0024
0.0162,0.01,0.02,0.25,0.2,0.3,1.222,0.724,0.7,0.75,0.0307,0.0015,-0.0015,0.0022,-0.0022
0.0163,0.01,0.02,0.25,0.2,0.3,1.213,0.794,0.75,0.85,0.0215,0.001,-0.001,0.0018,-0.0018
0.0139,0.01,0.02,0.43,0.3,0.5,1.798,0.224,0.2,0.25,0.3846,0.005,-0.005,0.0282,-0.0282
0.014,0.01,0.02,0.39,0.3,0.5,1.612,0.274,0.25,0.3,0.2943,0.0033,-0.0033,0.0211,-0.0211
0.014,0.01,0.02,0.38,0.3,0.5,1.6,0.324,0.3,0.35,0.2363,0.003,-0.003,0.0169,-0.0169
0.014,0.01,0.02,0.38,0.3,0.5,1.6,0.374,0.35,0.4,0.184,0.0026,-0.0026,0.0131,-0.0131
0.014,0.01,0.02,0.38,0.3,0.5,1.6,0.424,0.4,0.45,0.1355,0.0022,-0.0022,0.0098,-0.0098
0.014,0.01,0.02,0.38,0.3,0.5,1.59,0.474,0.45,0.5,0.1109,0.0021,-0.0021,0.008,-0.008
0.014,0.01,0.02,0.37,0.3,0.5,1.538,0.524,0.5,0.55,0.0809,0.002,-0.002,0.0062,-0.0062
0.0141,0.01,0.02,0.35,0.3,0.5,1.481,0.574,0.55,0.6,0.065,0.002,-0.002,0.0054,-0.0054
0.0141,0.01,0.02,0.34,0.3,0.5,1.431,0.624,0.6,0.65,0.0476,0.002,-0.002,0.0041,-0.0041
0.0142,0.01,0.02,0.33,0.3,0.5,1.387,0.674,0.65,0.7,0.0419,0.0024,-0.0024,0.0043,-0.0043
0.0144,0.01,0.02,0.32,0.3,0.5,1.353,0.724,0.7,0.75,0.0288,0.0027,-0.0027,0.0038,-0.0038
0.0151,0.01,0.02,0.31,0.3,0.5,1.301,0.794,0.75,0.85,0.0112,0.0046,-0.0046,0.0022,-0.0022
0.0139,0.01,0.02,0.59,0.5,0.7,2.432,0.224,0.2,0.25,0.399,0.0048,-0.0048,0.0325,-0.0325
0.0139,0.01,0.02,0.59,0.5,0.7,2.432,0.274,0.25,0.3,0.3061,0.0044,-0.0044,0.0249,-0.0249
0.0139,0.01,0.02,0.58,0.5,0.7,2.426,0.324,0.3,0.35,0.2299,0.004,-0.004,0.0186,-0.0186
0.0139,0.01,0.02,0.56,0.5,0.7,2.312,0.374,0.35,0.4,0.1808,0.0042,-0.0042,0.0146,-0.0146
0.0139,0.01,0.02,0.53,0.5,0.7,2.179,0.424,0.4,0.45,0.137,0.0052,-0.0052,0.0118,-0.0118
0.0262,0.02,0.03,0.14,0.1,0.15,1.138,0.574,0.55,0.6,0.0583,0.0048,-0.0048,0.0039,-0.0039
0.0268,0.02,0.03,0.14,0.1,0.15,1.117,0.624,0.6,0.65,0.0547,0.0037,-0.0037,0.0034,-0.0034
0.0271,0.02,0.03,0.14,0.1,0.15,1.106,0.674,0.65,0.7,0.0452,0.0032,-0.0032,0.0027,-0.0027
0.0271,0.02,0.03,0.14,0.1,0.15,1.104,0.724,0.7,0.75,0.0353,0.0027,-0.0027,0.0021,-0.0021
0.0271,0.02,0.03,0.14,0.1,0.15,1.104,0.794,0.75,0.85,0.0258,0.0017,-0.0017,0.0016,-0.0016
0.0244,0.02,0.03,0.19,0.15,0.2,1.428,0.424,0.4,0.45,0.1455,0.0087,-0.0087,0.0093,-0.0093
0.0244,0.02,0.03,0.18,0.15,0.2,1.335,0.474,0.45,0.5,0.1087,0.0041,-0.0041,0.007,-0.007
0.0246,0.02,0.03,0.18,0.15,0.2,1.286,0.524,0.5,0.55,0.0859,0.0029,-0.0029,0.0057,-0.0057
0.0246,0.02,0.03,0.17,0.15,0.2,1.278,0.574,0.55,0.6,0.0674,0.0025,-0.0025,0.0047,-0.0047
0.0246,0.02,0.03,0.17,0.15,0.2,1.278,0.624,0.6,0.65,0.0556,0.0023,-0.0023,0.0035,-0.0035
0.0246,0.02,0.03,0.17,0.15,0.2,1.278,0.674,0.65,0.7,0.0412,0.002,-0.002,0.0025,-0.0025
0.0246,0.02,0.03,0.17,0.15,0.2,1.278,0.724,0.7,0.75,0.0358,0.0019,-0.0019,0.0022,-0.0022
0.0246,0.02,0.03,0.17,0.15,0.2,1.278,0.794,0.75,0.85,0.0218,0.001,-0.001,0.0014,-0.0014
0.0244,0.02,0.03,0.27,0.2,0.3,2.001,0.324,0.3,0.35,0.2285,0.007,-0.007,0.015,-0.015
0.0244,0.02,0.03,0.25,0.2,0.3,1.842,0.374,0.35,0.4,0.1933,0.0046,-0.0046,0.0125,-0.0125
0.0244,0.02,0.03,0.24,0.2,0.3,1.765,0.424,0.4,0.45,0.1457,0.0035,-0.0035,0.0094,-0.0094
0.0244,0.02,0.03,0.24,0.2,0.3,1.763,0.474,0.45,0.5,0.1131,0.003,-0.003,0.0073,-0.0073
0.0244,0.02,0.03,0.24,0.2,0.3,1.763,0.524,0.5,0.55,0.0903,0.0027,-0.0027,0.0059,-0.0059
0.0244,0.02,0.03,0.24,0.2,0.3,1.763,0.574,0.55,0.6,0.0685,0.0023,-0.0023,0.0047,-0.0047
0.0244,0.02,0.03,0.24,0.2,0.3,1.763,0.624,0.6,0.65,0.0525,0.002,-0.002,0.0034,-0.0034
0.0244,0.02,0.03,0.24,0.2,0.3,1.763,0.674,0.65,0.7,0.0416,0.0019,-0.0019,0.0027,-0.0027
0.0244,0.02,0.03,0.24,0.2,0.3,1.763,0.724,0.7,0.75,0.0315,0.0017,-0.0017,0.0021,-0.0021
0.0244,0.02,0.03,0.24,0.2,0.3,1.743,0.794,0.75,0.85,0.0224,0.0011,-0.0011,0.0017,-0.0017
0.0244,0.02,0.03,0.43,0.3,0.5,3.147,0.224,0.2,0.25,0.3979,0.0074,-0.0074,0.0284,-0.0284
0.0244,0.02,0.03,0.38,0.3,0.5,2.798,0.274,0.25,0.3,0.3242,0.005,-0.005,0.0226,-0.0226
0.0244,0.02,0.03,0.38,0.3,0.5,2.764,0.324,0.3,0.35,0.2444,0.0042,-0.0042,0.017,-0.017
0.0244,0.02,0.03,0.38,0.3,0.5,2.764,0.374,0.35,0.4,0.1899,0.0037,-0.0037,0.0131,-0.0131
0.0244,0.02,0.03,0.38,0.3,0.5,2.764,0.424,0.4,0.45,0.1564,0.0035,-0.0035,0.0108,-0.0108
0.0244,0.02,0.03,0.38,0.3,0.5,2.748,0.474,0.45,0.5,0.1179,0.0031,-0.0031,0.0082,-0.0082
0.0244,0.02,0.03,0.37,0.3,0.5,2.655,0.524,0.5,0.55,0.0843,0.0028,-0.0028,0.0061,-0.0061
0.0244,0.02,0.03,0.35,0.3,0.5,2.553,0.574,0.55,0.6,0.0693,0.0028,-0.0028,0.0054,-0.0054
0.0244,0.02,0.03,0.34,0.3,0.5,2.458,0.624,0.6,0.65,0.0546,0.003,-0.003,0.0047,-0.0047
0.0244,0.02,0.03,0.33,0.3,0.5,2.37,0.674,0.65,0.7,0.0404,0.0031,-0.0031,0.0036,-0.0036
0.0244,0.02,0.03,0.32,0.3,0.5,2.287,0.723,0.7,0.75,0.0464,0.0044,-0.0044,0.0045,-0.0045
0.0244,0.02,0.03,0.31,0.3,0.5,2.102,0.794,0.75,0.85,0.0178,0.0063,-0.0063,0.0034,-0.0034
0.0244,0.02,0.03,0.59,0.5,0.7,4.255,0.224,0.2,0.25,0.4085,0.0082,-0.0082,0.0322,-0.0322
0.0244,0.02,0.03,0.59,0.5,0.7,4.255,0.274,0.25,0.3,0.331,0.0075,-0.0075,0.0261,-0.0261
0.0244,0.02,0.03,0.58,0.5,0.7,4.243,0.324,0.3,0.35,0.2399,0.0067,-0.0067,0.0189,-0.0189
0.0244,0.02,0.03,0.56,0.5,0.7,4.043,0.374,0.35,0.4,0.1976,0.007,-0.007,0.0155,-0.0155
0.0244,0.02,0.03,0.53,0.5,0.7,3.812,0.424,0.4,0.45,0.1593,0.009,-0.009,0.0134,-0.0134
0.0345,0.03,0.04,0.14,0.1,0.15,1.49,0.575,0.55,0.6,0.0723,0.0059,-0.0059,0.0045,-0.0045
0.0345,0.03,0.04,0.14,0.1,0.15,1.42,0.625,0.6,0.65,0.0541,0.0035,-0.0035,0.0033,-0.0033
0.0345,0.03,0.04,0.13,0.1,0.15,1.361,0.674,0.65,0.7,0.0414,0.0024,-0.0024,0.0024,-0.0024
0.0346,0.03,0.04,0.13,0.1,0.15,1.312,0.724,0.7,0.75,0.035,0.002,-0.002,0.0021,-0.0021
0.0347,0.03,0.04,0.12,0.1,0.15,1.286,0.794,0.75,0.85,0.0225,0.001,-0.001,0.0013,-0.0013
0.0345,0.03,0.04,0.19,0.15,0.2,2.024,0.424,0.4,0.45,0.1516,0.0123,-0.0123,0.0093,-0.0093
0.0345,0.03,0.04,0.18,0.15,0.2,1.892,0.474,0.45,0.5,0.1207,0.006,-0.006,0.0074,-0.0074
0.0345,0.03,0.04,0.17,0.15,0.2,1.799,0.524,0.5,0.55,0.0833,0.0038,-0.0038,0.0051,-0.0051
0.0345,0.03,0.04,0.17,0.15,0.2,1.777,0.575,0.55,0.6,0.0677,0.0033,-0.0033,0.0044,-0.0044
0.0345,0.03,0.04,0.17,0.15,0.2,1.777,0.624,0.6,0.65,0.0549,0.0029,-0.0029,0.0033,-0.0033
0.0345,0.03,0.04,0.17,0.15,0.2,1.777,0.674,0.65,0.7,0.0443,0.0026,-0.0026,0.0027,-0.0027
0.0345,0.03,0.04,0.17,0.15,0.2,1.777,0.724,0.7,0.75,0.0327,0.0023,-0.0023,0.002,-0.002
0.0345,0.03,0.04,0.17,0.15,0.2,1.777,0.794,0.75,0.85,0.0253,0.0014,-0.0014,0.0015,-0.0015
0.0345,0.03,0.04,0.27,0.2,0.3,2.838,0.324,0.3,0.35,0.2516,0.0088,-0.0088,0.0161,-0.0161
0.0345,0.03,0.04,0.25,0.2,0.3,2.612,0.374,0.35,0.4,0.1945,0.0056,-0.0056,0.0122,-0.0122
0.0345,0.03,0.04,0.24,0.2,0.3,2.503,0.424,0.4,0.45,0.1457,0.0043,-0.0043,0.0091,-0.0091
0.0345,0.03,0.04,0.24,0.2,0.3,2.5,0.474,0.45,0.5,0.1267,0.004,-0.004,0.0079,-0.0079
0.0345,0.03,0.04,0.24,0.2,0.3,2.5,0.524,0.5,0.55,0.0923,0.0033,-0.0033,0.0058,-0.0058
0.0345,0.03,0.04,0.24,0.2,0.3,2.5,0.574,0.55,0.6,0.0714,0.0029,-0.0029,0.0046,-0.0046
0.0345,0.03,0.04,0.24,0.2,0.3,2.5,0.624,0.6,0.65,0.0559,0.0026,-0.0026,0.0035,-0.0035
0.0345,0.03,0.04,0.24,0.2,0.3,2.5,0.674,0.65,0.7,0.047,0.0024,-0.0024,0.0029,-0.0029
0.0345,0.03,0.04,0.24,0.2,0.3,2.5,0.724,0.7,0.75,0.0336,0.0022,-0.0022,0.0021,-0.0021
0.0345,0.03,0.04,0.24,0.2,0.3,2.472,0.794,0.75,0.85,0.024,0.0014,-0.0014,0.0016,-0.0016
0.0345,0.03,0.04,0.43,0.3,0.5,4.462,0.224,0.2,0.25,0.4158,0.0098,-0.0098,0.029,-0.029
0.0345,0.03,0.04,0.38,0.3,0.5,3.967,0.274,0.25,0.3,0.3361,0.0065,-0.0065,0.0228,-0.0228
0.0345,0.03,0.04,0.38,0.3,0.5,3.918,0.324,0.3,0.35,0.2607,0.0056,-0.0056,0.0176,-0.0176
0.0345,0.03,0.04,0.38,0.3,0.5,3.918,0.374,0.35,0.4,0.2045,0.0049,-0.0049,0.0138,-0.0138
0.0345,0.03,0.04,0.38,0.3,0.5,3.918,0.424,0.4,0.45,0.1582,0.0043,-0.0043,0.0107,-0.0107
0.0345,0.03,0.04,0.38,0.3,0.5,3.896,0.474,0.45,0.5,0.1196,0.0038,-0.0038,0.0081,-0.0081
0.0345,0.03,0.04,0.37,0.3,0.5,3.765,0.524,0.5,0.55,0.093,0.0038,-0.0038,0.0065,-0.0065
0.0345,0.03,0.04,0.35,0.3,0.5,3.619,0.574,0.55,0.6,0.0851,0.004,-0.004,0.0063,-0.0063
0.0345,0.03,0.04,0.34,0.3,0.5,3.485,0.624,0.6,0.65,0.0652,0.004,-0.004,0.0048,-0.0048
0.0345,0.03,0.04,0.33,0.3,0.5,3.361,0.674,0.65,0.7,0.0484,0.0042,-0.0042,0.0048,-0.0048
0.0345,0.03,0.04,0.32,0.3,0.5,3.244,0.724,0.7,0.75,0.0489,0.0054,-0.0054,0.0067,-0.0067
0.0345,0.03,0.04,0.59,0.5,0.7,6.033,0.223,0.2,0.25,0.4147,0.0115,-0.0115,0.0319,-0.0319
0.0345,0.03,0.04,0.59,0.5,0.7,6.033,0.274,0.25,0.3,0.343,0.0108,-0.0108,0.0264,-0.0264
0.0345,0.03,0.04,0.59,0.5,0.7,6.016,0.324,0.3,0.35,0.2619,0.01,-0.01,0.0201,-0.0201
0.0345,0.03,0.04,0.56,0.5,0.7,5.731,0.374,0.35,0.4,0.2012,0.0098,-0.0098,0.0152,-0.0152
0.0345,0.03,0.04,0.53,0.5,0.7,5.402,0.424,0.4,0.45,0.1701,0.0121,-0.0121,0.0135,-0.0135
0.0487,0.04,0.06,0.14,0.1,0.15,2.099,0.574,0.55,0.6,0.0766,0.0058,-0.0058,0.0046,-0.0046
0.0487,0.04,0.06,0.14,0.1,0.15,2,0.624,0.6,0.65,0.0554,0.0034,-0.0034,0.0032,-0.0032
0.0487,0.04,0.06,0.13,0.1,0.15,1.917,0.674,0.65,0.7,0.0455,0.0025,-0.0025,0.0026,-0.0026
0.0487,0.04,0.06,0.13,0.1,0.15,1.844,0.724,0.7,0.75,0.0393,0.0021,-0.0021,0.0023,-0.0023
0.0487,0.04,0.06,0.12,0.1,0.15,1.788,0.794,0.75,0.85,0.0259,0.0011,-0.0011,0.0015,-0.0015
0.0487,0.04,0.06,0.19,0.15,0.2,2.854,0.424,0.4,0.45,0.1459,0.0102,-0.0102,0.0087,-0.0087
0.0487,0.04,0.06,0.18,0.15,0.2,2.668,0.474,0.45,0.5,0.1222,0.0052,-0.0052,0.0072,-0.0072
0.0487,0.04,0.06,0.17,0.15,0.2,2.536,0.524,0.5,0.55,0.0975,0.0037,-0.0037,0.0057,-0.0057
0.0487,0.04,0.06,0.17,0.15,0.2,2.505,0.574,0.55,0.6,0.0752,0.0031,-0.0031,0.0045,-0.0045
0.0487,0.04,0.06,0.17,0.15,0.2,2.504,0.624,0.6,0.65,0.0564,0.0027,-0.0027,0.0033,-0.0033
0.0487,0.04,0.06,0.17,0.15,0.2,2.504,0.674,0.65,0.7,0.044,0.0023,-0.0023,0.0026,-0.0026
0.0487,0.04,0.06,0.17,0.15,0.2,2.504,0.724,0.7,0.75,0.038,0.0022,-0.0022,0.0022,-0.0022
0.0487,0.04,0.06,0.17,0.15,0.2,2.504,0.794,0.75,0.85,0.0235,0.0012,-0.0012,0.0014,-0.0014
0.0487,0.04,0.06,0.27,0.2,0.3,3.998,0.324,0.3,0.35,0.2644,0.0079,-0.0079,0.0165,-0.0165
0.0487,0.04,0.06,0.25,0.2,0.3,3.68,0.374,0.35,0.4,0.2017,0.0049,-0.0049,0.0124,-0.0124
0.0487,0.04,0.06,0.24,0.2,0.3,3.526,0.424,0.4,0.45,0.1563,0.0038,-0.0038,0.0095,-0.0095
0.0487,0.04,0.06,0.24,0.2,0.3,3.522,0.474,0.45,0.5,0.126,0.0034,-0.0034,0.0077,-0.0077
0.0487,0.04,0.06,0.24,0.2,0.3,3.522,0.524,0.5,0.55,0.0993,0.003,-0.003,0.0061,-0.0061
0.0487,0.04,0.06,0.24,0.2,0.3,3.522,0.574,0.55,0.6,0.0793,0.0027,-0.0027,0.0049,-0.0049
0.0487,0.04,0.06,0.24,0.2,0.3,3.522,0.624,0.6,0.65,0.058,0.0022,-0.0022,0.0035,-0.0035
0.0487,0.04,0.06,0.24,0.2,0.3,3.522,0.675,0.65,0.7,0.0419,0.0019,-0.0019,0.0026,-0.0026
0.0487,0.04,0.06,0.24,0.2,0.3,3.522,0.724,0.7,0.75,0.0358,0.0019,-0.0019,0.0022,-0.0022
0.0487,0.04,0.06,0.24,0.2,0.3,3.481,0.794,0.75,0.85,0.0249,0.0011,-0.0011,0.0017,-0.0017
0.0486,0.04,0.06,0.43,0.3,0.5,6.284,0.223,0.2,0.25,0.4257,0.0092,-0.0092,0.0289,-0.0289
0.0486,0.04,0.06,0.38,0.3,0.5,5.586,0.274,0.25,0.3,0.3444,0.006,-0.006,0.0227,-0.0227
0.0486,0.04,0.06,0.38,0.3,0.5,5.517,0.324,0.3,0.35,0.2743,0.0052,-0.0052,0.0181,-0.0181
0.0486,0.04,0.06,0.38,0.3,0.5,5.517,0.374,0.35,0.4,0.211,0.0045,-0.0045,0.0139,-0.0139
0.0486,0.04,0.06,0.38,0.3,0.5,5.517,0.424,0.4,0.45,0.1679,0.0041,-0.0041,0.011,-0.011
0.0486,0.04,0.06,0.38,0.3,0.5,5.485,0.474,0.45,0.5,0.1251,0.0036,-0.0036,0.0083,-0.0083
0.0486,0.04,0.06,0.37,0.3,0.5,5.301,0.524,0.5,0.55,0.0939,0.0034,-0.0034,0.0063,-0.0063
0.0486,0.04,0.06,0.35,0.3,0.5,5.097,0.574,0.55,0.6,0.0743,0.0033,-0.0033,0.0055,-0.0055
0.0486,0.04,0.06,0.34,0.3,0.5,4.909,0.624,0.6,0.65,0.0671,0.0038,-0.0038,0.0058,-0.0058
0.0486,0.04,0.06,0.33,0.3,0.5,4.734,0.674,0.65,0.7,0.0497,0.0037,-0.0037,0.0042,-0.0042
0.0487,0.04,0.06,0.32,0.3,0.5,4.569,0.724,0.7,0.75,0.0425,0.0045,-0.0045,0.0047,-0.0047
0.0487,0.04,0.06,0.31,0.3,0.5,4.203,0.793,0.75,0.85,0.0163,0.0068,-0.0068,0.0028,-0.0028
0.0486,0.04,0.06,0.59,0.5,0.7,8.496,0.223,0.2,0.25,0.4346,0.0126,-0.0126,0.0325,-0.0325
0.0486,0.04,0.06,0.59,0.5,0.7,8.496,0.274,0.25,0.3,0.3469,0.0116,-0.0116,0.0259,-0.0259
0.0486,0.04,0.06,0.59,0.5,0.7,8.471,0.324,0.3,0.35,0.2585,0.0101,-0.0101,0.0192,-0.0192
0.0486,0.04,0.06,0.56,0.5,0.7,8.072,0.374,0.35,0.4,0.1939,0.0102,-0.0102,0.0143,-0.0143
0.0486,0.04,0.06,0.53,0.5,0.7,7.608,0.424,0.4,0.45,0.1515,0.0122,-0.0122,0.0116,-0.0116
0.0765,0.06,0.1,0.14,0.1,0.15,3.302,0.574,0.55,0.6,0.0755,0.0054,-0.0054,0.0043,-0.0043
0.0766,0.06,0.1,0.14,0.1,0.15,3.147,0.624,0.6,0.65,0.058,0.0033,-0.0033,0.0032,-0.0032
0.0766,0.06,0.1,0.13,0.1,0.15,3.017,0.674,0.65,0.7,0.0454,0.0024,-0.0024,0.0025,-0.0025
0.0766,0.06,0.1,0.13,0.1,0.15,2.902,0.724,0.7,0.75,0.0381,0.002,-0.002,0.0021,-0.0021
0.0766,0.06,0.1,0.12,0.1,0.15,2.814,0.794,0.75,0.85,0.0267,0.0011,-0.0011,0.0015,-0.0015
0.0765,0.06,0.1,0.19,0.15,0.2,4.485,0.424,0.4,0.45,0.163,0.0102,-0.0102,0.0093,-0.0093
0.0765,0.06,0.1,0.18,0.15,0.2,4.192,0.474,0.45,0.5,0.1167,0.0047,-0.0047,0.0066,-0.0066
0.0765,0.06,0.1,0.17,0.15,0.2,3.985,0.524,0.5,0.55,0.1007,0.0035,-0.0035,0.0057,-0.0057
0.0765,0.06,0.1,0.17,0.15,0.2,3.936,0.574,0.55,0.6,0.0771,0.0029,-0.0029,0.0044,-0.0044
0.0765,0.06,0.1,0.17,0.15,0.2,3.935,0.624,0.6,0.65,0.0583,0.0024,-0.0024,0.0033,-0.0033
0.0765,0.06,0.1,0.17,0.15,0.2,3.935,0.674,0.65,0.7,0.0461,0.0022,-0.0022,0.0026,-0.0026
0.0765,0.06,0.1,0.17,0.15,0.2,3.935,0.724,0.7,0.75,0.0347,0.0019,-0.0019,0.0019,-0.0019
0.0765,0.06,0.1,0.17,0.15,0.2,3.935,0.794,0.75,0.85,0.0256,0.0011,-0.0011,0.0014,-0.0014
0.0765,0.06,0.1,0.27,0.2,0.3,6.284,0.324,0.3,0.35,0.2766,0.0078,-0.0078,0.0165,-0.0165
